,names,scores,logfoldchanges,pvals,pvals_adj,celltype
133984,BCL2,4.6445146,1.0068907,3.621309316104756e-06,6.382773566453954e-05,t_Tn-LEF1
133985,KRIT1,4.644387,1.4134089,3.6454532441552885e-06,6.415129744655175e-05,t_Tn-LEF1
133986,KDM4C,4.6390905,1.3298756,3.7335915993749246e-06,6.565021929654258e-05,t_Tn-LEF1
133987,PHC1,4.6348667,2.8038592,3.88132291278788e-06,6.808589631744119e-05,t_Tn-LEF1
133988,RDX,4.631043,2.2027223,3.924580341669051e-06,6.873595569970606e-05,t_Tn-LEF1
133989,SPATA2L,4.6302714,1.9157904,3.920885078862724e-06,6.872552162341753e-05,t_Tn-LEF1
133990,OGDH,4.6247563,1.1948628,3.990381235234293e-06,6.983324635268349e-05,t_Tn-LEF1
133991,TPRG1,4.6224823,5.2219696,4.204445021685679e-06,7.33478831359847e-05,t_Tn-LEF1
133992,KIF9,4.6180716,2.2384896,4.1818653822624495e-06,7.306895281395215e-05,t_Tn-LEF1
133993,GRK2,4.6141763,1.2963775,4.202922901590002e-06,7.33478831359847e-05,t_Tn-LEF1
133994,EFNB2,4.6129456,2.832789,4.317220202615922e-06,7.507899886478654e-05,t_Tn-LEF1
133995,RASL11A,4.612941,1.9051708,4.267799108179059e-06,7.427779405467369e-05,t_Tn-LEF1
133996,KRT19,4.612496,3.1623282,4.346701703124338e-06,7.547330999481279e-05,t_Tn-LEF1
133997,HSPB11,4.6119046,0.91558915,4.227761624789978e-06,7.369666549250643e-05,t_Tn-LEF1
133998,WIPF2,4.611816,1.6086553,4.2646880356427e-06,7.427779405467369e-05,t_Tn-LEF1
133999,REEP3,4.6068993,1.2042993,4.341409059537794e-06,7.5440488304962e-05,t_Tn-LEF1
134000,HCST,4.6016974,0.4593948,4.420048224803492e-06,7.668679913033476e-05,t_Tn-LEF1
134001,TSC22D1,4.599616,3.023056,4.621378567863526e-06,8.011714385085063e-05,t_Tn-LEF1
134002,FASLG,4.5987086,25.10915,4.7205796783406575e-06,8.170914380003701e-05,t_Tn-LEF1
134003,RNF145,4.5911913,0.9432765,4.664991832766767e-06,8.081004992807618e-05,t_Tn-LEF1
134004,GPR137B,4.588775,1.584266,4.763555418409666e-06,8.238870069609792e-05,t_Tn-LEF1
134005,SDC4,4.5860767,3.9068112,4.955664562528848e-06,8.531207324918646e-05,t_Tn-LEF1
134006,SELENOW,4.585842,0.58673745,4.768738305926989e-06,8.241405647491748e-05,t_Tn-LEF1
